"Author Contact","Data Description","Data Licence","Data URL","Example Code Licence","Example Code URL","Example Description","Example Product URL","Example Software","Example Title"
"@thoughtfulnz on Twitter","At-Sea Observations of Seabirds 1969 to 1990","Creative Commons Attribution 4.0 International licence","https://catalogue.data.govt.nz/dataset/at-sea-observations-of-seabirds-1969-to-1990","MIT License","https://github.com/thoughtfulbloke/mapenguin","R example showing plotting bird sightings on a map","","R","Mapping NZ bird sightings"
"@thoughtfulnz on Twitter","NIWA cliflo climate information","https://cliflo.niwa.co.nz/doc/terms.html","https://cliflo.niwa.co.nz","MIT License","https://github.com/thoughtfulbloke/clifro","Some R code using NIWA's cliflo database vis the R clifro package","","R","Using Cliflo in R"
"@thoughtfulnz on Twitter","New Zealand Election Study","http://www.nzes.org/exec/show/data","http://www.nzes.org/exec/show/data","MIT License","https://github.com/thoughtfulbloke/NZESwalkthrough","Some R getting started code using New Zealand Election Study SPSS files","","R","Walkthrough example of using New Zealand Election Study (NZES) data in R"
"@jmarshallnz on Twitter","Wellington cycle count data","https://www.transportprojects.org.nz/cycle-count-data/","https://www.transportprojects.org.nz/cycle-count-data/","MIT License","https://github.com/jmarshallnz/cycle_wellington","Some R code walking through processing and visualising cycle counter data","","R","Processing and visualising Wellington Cycle counter data in R/RStudio"
"@xurizaemon on Twitter","NZTA Crash Analysis System (CAS) data","CC-BY-4.0","https://opendata-nzta.opendata.arcgis.com/datasets/crash-analysis-system-cas-data","CC-BY-4.0","https://github.com/xurizaemon/NZTA-CAS-example","RStudio plots of NZTA Crash Analysis System data","https://www.rstudio.com/","RStudio","NZTA Crash Analysis System example"
"@xurizaemon on Twitter","Wikimedia SPARQL example","CC0","https://query.wikidata.org/","CC-BY-4.0","https://github.com/xurizaemon/Wikidata-SPARQL-example","RStudio plots of WikiData SPARQL query","https://www.rstudio.com/","RStudio","WikiData: People born in Otago"
"@campbead on Twitter","Stats NZ Tourism","Crown Copyright","http://archive.stats.govt.nz/infoshare/Default.aspx","CC-BY-4.0","https://github.com/campbead/TourismTutorial","An analysis of the Dunedin occupancy rates of accomidation.","https://www.rstudio.com/","RStudio","Dunedin Tourism Accomidation"
"@murraycadzow on Twitter","This is a data set containing the tier 1 statistics 2017/18: New Zealand Health Survey - specifically the percentages for the current and previous surveys so that change over time can be investigated.  See https://minhealthnz.shinyapps.io/nz-health-survey-2017-18-annual-data-explorer/_w_b8e82abf/#!/download-data-sets for related data and see also: https://www.health.govt.nz/publication/tier-1-statistics-2017-18-new-zealand-health-survey for a more detailed explanation","Owned by the Ministry of Health and licensed for reuse under a Creative Commons Attribution 4.0 International Licence.","https://minhealthnz.shinyapps.io/nz-health-survey-2017-18-annual-data-explorer/_w_b8e82abf/data/nz-health-survey-2017-18-annual-update-time-series.csv","MIT License","https://murraycadzow.github.io/nz_moh_annual_survey/MoH_nz_health_survey.html","A very brief/superficial look into the smoking prevalence from the Ministry of Health Annual Health Survey Change Over Time dataset, looking from 2006-2017.",NA,"The example uses the R programming language with the tidyverse package (v1.2.1)","New Zealand Ministry of Health Annual Health Survey - Smoking"
"@thoughtfulnz on Twitter","Data from Ministry of Health's Pharmaceutical Collection","Creative Commons Attribution 4.0 International","https://minhealthnz.shinyapps.io/datapharm-beta","MIT License","https://github.com/thoughtfulbloke/phrmac_example/","Using pharmac's data on perscriptions","","R","Every perscription in New Zealand"
"","","","","","","","","",""
